rowid,dataset,_link,_link_activity,_link_activity_label,prefix,iatiidentifier,reportingorg_ref,ref,locationreach_code,locationreach_codename,name_narrative,description_narrative,activitydescription_narrative,administrative,point_srsName,point_pos,exactness_code,exactness_codename,locationclass,locationclass_code,locationclass_codename,featuredesignation_code,featuredesignation_codename,percentage,recipientcountry_codename,Sector
532617,iadb-bo,289041.location.0,289041,289041,iadb,XI-IATI-IADB-BO-L1113,XI-IATI-IADB,,1,Activity,"Bolivia, CALLE JUNIN 745 ESQUINA INDABURO, LA PAZ",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-16.503294584295, -68.152880248277",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),AGRICULTURE AND RURAL DEVELOPMENT
532659,iadb-bo,289042.location.0,289042,289042,iadb,XI-IATI-IADB-BO-L1106,XI-IATI-IADB,,1,Activity,"Bolivia, AV. BELISARIO SALINAS ESQ. PRESBITERO MEDINA NO. 354, LA PAZ",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"14.06667, -88.05",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),ENVIRONMENT AND NATURAL DISASTERS
532666,iadb-bo,289042.location.1,289042,289042,iadb,XI-IATI-IADB-BO-L1106,XI-IATI-IADB,,1,Activity,"Bolivia, CASA GRANDE DEL PUEBLO P18, LA PAZ",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-31.186165722573, -64.469591716523",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),ENVIRONMENT AND NATURAL DISASTERS
532667,iadb-bo,289044.location.0,289044,289044,iadb,XI-IATI-IADB-BO-L1037,XI-IATI-IADB,,1,Activity,"Bolivia,La Paz",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-16.4955455, -68.1336229",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),AGRICULTURE AND RURAL DEVELOPMENT
532682,iadb-bo,289045.location.0,289045,289045,iadb,XI-IATI-IADB-BO-L1179,XI-IATI-IADB,,1,Activity,"Bolivia, AV. JOS  NATUSCH ESQ. FELIX SATTORI, BENI",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-14.829179273562, -64.900990034009",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),AGRICULTURE AND RURAL DEVELOPMENT
532684,iadb-bo,289051.location.0,289051,289051,iadb,XI-IATI-IADB-BO-L1015,XI-IATI-IADB,,1,Activity,"Bolivia,Ichilo",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-17.4033551, -63.9040574",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),TRANSPORT
532699,iadb-bo,289051.location.1,289051,289051,iadb,XI-IATI-IADB-BO-L1015,XI-IATI-IADB,,1,Activity,"Bolivia,Montero",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-17.3420202, -63.2557687",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),TRANSPORT
532700,iadb-bo,289051.location.2,289051,289051,iadb,XI-IATI-IADB-BO-L1015,XI-IATI-IADB,,1,Activity,"Bolivia,Patacamaya",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-17.2326745, -67.9202528",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),TRANSPORT
532701,iadb-bo,289051.location.3,289051,289051,iadb,XI-IATI-IADB-BO-L1015,XI-IATI-IADB,,1,Activity,"Bolivia,Puerto Villarroel",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-16.8389555, -64.7926808",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),TRANSPORT
532702,iadb-bo,289052.location.0,289052,289052,iadb,XI-IATI-IADB-BO-L1011,XI-IATI-IADB,,1,Activity,"Bolivia,San Borja",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-14.8582125, -66.7474736",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),TRANSPORT
532704,iadb-bo,289052.location.1,289052,289052,iadb,XI-IATI-IADB-BO-L1011,XI-IATI-IADB,,1,Activity,"Bolivia,San Buenaventura",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-14.43239935, -67.54119524",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),TRANSPORT
532705,iadb-bo,289053.location.0,289053,289053,iadb,XI-IATI-IADB-BO-L1114,XI-IATI-IADB,,1,Activity,"Bolivia,El Alto",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-16.5048228, -68.1624337",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),WATER AND SANITATION
532709,iadb-bo,289053.location.1,289053,289053,iadb,XI-IATI-IADB-BO-L1114,XI-IATI-IADB,,1,Activity,"Bolivia,La Paz",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-16.4955455, -68.1336229",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),WATER AND SANITATION
532710,iadb-bo,289053.location.2,289053,289053,iadb,XI-IATI-IADB-BO-L1114,XI-IATI-IADB,,1,Activity,"Bolivia,La Paz,El Alto",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-16.5048228, -68.1624337",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),WATER AND SANITATION
532711,iadb-bo,289053.location.3,289053,289053,iadb,XI-IATI-IADB-BO-L1114,XI-IATI-IADB,,1,Activity,"Bolivia,La Paz,La Paz",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-16.4955455, -68.1336229",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),WATER AND SANITATION
532712,iadb-bo,289055.location.0,289055,289055,iadb,XI-IATI-IADB-BO-L1050,XI-IATI-IADB,,1,Activity,"Bolivia,Oruro",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-18.666667, -67.666667",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),ENERGY
532713,iadb-bo,289056.location.0,289056,289056,iadb,XI-IATI-IADB-BO-L1117,XI-IATI-IADB,,1,Activity,"Bolivia, CALLE COLOMBIA O - 0655, CASI ESQ. FALZURI,, COCHABAMBA",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-17.33058, -66.29769",2,Approximate,,,,PPLC,capital of a political entity,,Bolivia (Plurinational State of),ENERGY
